activeCases,activeCasesNew,recovered,recoveredNew,deaths,deathsNew,previousDayTests,totalCases,sourceUrl,lastUpdatedAtApify,readMe,regionData.region,regionData.activeCases,regionData.newInfected,regionData.recovered,regionData.newRecovered,regionData.deceased,regionData.newDeceased,regionData.totalInfected
361340,-2265,31597982,36347,433964,375,1721205,32393286,https://www.mohfw.gov.in/,2021-08-21T07:00:00.000Z,https://github.com/zpelechova/covid-in/blob/master/README.md,Mizoram,7044,-580,44368,1223,192,2,51604
361340,-2265,31597982,36347,433964,375,1721205,32393286,https://www.mohfw.gov.in/,2021-08-21T07:00:00.000Z,https://github.com/zpelechova/covid-in/blob/master/README.md,Nagaland,1032,8,27841,83,609,1,29482
361340,-2265,31597982,36347,433964,375,1721205,32393286,https://www.mohfw.gov.in/,2021-08-21T07:00:00.000Z,https://github.com/zpelechova/covid-in/blob/master/README.md,Odisha,8705,-9,983245,926,7223,69,999173
361340,-2265,31597982,36347,433964,375,1721205,32393286,https://www.mohfw.gov.in/,2021-08-21T07:00:00.000Z,https://github.com/zpelechova/covid-in/blob/master/README.md,Puducherry,963,-8,120004,105,1806,0,122773
361340,-2265,31597982,36347,433964,375,1721205,32393286,https://www.mohfw.gov.in/,2021-08-21T07:00:00.000Z,https://github.com/zpelechova/covid-in/blob/master/README.md,Punjab,538,-33,583291,86,16351,4,600180
361340,-2265,31597982,36347,433964,375,1721205,32393286,https://www.mohfw.gov.in/,2021-08-21T07:00:00.000Z,https://github.com/zpelechova/covid-in/blob/master/README.md,Rajasthan,155,2,944886,12,8954,0,953995
361340,-2265,31597982,36347,433964,375,1721205,32393286,https://www.mohfw.gov.in/,2021-08-21T07:00:00.000Z,https://github.com/zpelechova/covid-in/blob/master/README.md,Sikkim,1706,-100,27087,182,364,0,29157
361340,-2265,31597982,36347,433964,375,1721205,32393286,https://www.mohfw.gov.in/,2021-08-21T07:00:00.000Z,https://github.com/zpelechova/covid-in/blob/master/README.md,Tamil Nadu,19621,-243,2543319,1887,34663,24,2597603
361340,-2265,31597982,36347,433964,375,1721205,32393286,https://www.mohfw.gov.in/,2021-08-21T07:00:00.000Z,https://github.com/zpelechova/covid-in/blob/master/README.md,Telangana,6728,-137,643812,494,3854,2,654394
361340,-2265,31597982,36347,433964,375,1721205,32393286,https://www.mohfw.gov.in/,2021-08-21T07:00:00.000Z,https://github.com/zpelechova/covid-in/blob/master/README.md,Tripura,1285,-122,79871,237,785,0,81941
361340,-2265,31597982,36347,433964,375,1721205,32393286,https://www.mohfw.gov.in/,2021-08-21T07:00:00.000Z,https://github.com/zpelechova/covid-in/blob/master/README.md,Uttarakhand,333,-9,335007,24,7376,0,342716
361340,-2265,31597982,36347,433964,375,1721205,32393286,https://www.mohfw.gov.in/,2021-08-21T07:00:00.000Z,https://github.com/zpelechova/covid-in/blob/master/README.md,Uttar Pradesh,408,1,1685877,23,22791,2,1709076
361340,-2265,31597982,36347,433964,375,1721205,32393286,https://www.mohfw.gov.in/,2021-08-21T07:00:00.000Z,https://github.com/zpelechova/covid-in/blob/master/README.md,West Bengal,9635,-18,1513766,767,18346,9,1541747
361340,-2265,31597982,36347,433964,375,1721205,32393286,https://www.mohfw.gov.in/,2021-08-22T03:00:00.000Z,https://github.com/zpelechova/covid-in/blob/master/README.md,Andaman and Nicobar Islands,8,3,7419,0,129,0,7556
361340,-2265,31597982,36347,433964,375,1721205,32393286,https://www.mohfw.gov.in/,2021-08-22T03:00:00.000Z,https://github.com/zpelechova/covid-in/blob/master/README.md,Andhra Pradesh,15472,-266,1970864,1695,13702,6,2000038
361340,-2265,31597982,36347,433964,375,1721205,32393286,https://www.mohfw.gov.in/,2021-08-22T03:00:00.000Z,https://github.com/zpelechova/covid-in/blob/master/README.md,Arunachal Pradesh,1470,-94,50317,217,257,2,52044
361340,-2265,31597982,36347,433964,375,1721205,32393286,https://www.mohfw.gov.in/,2021-08-22T03:00:00.000Z,https://github.com/zpelechova/covid-in/blob/master/README.md,Assam,8257,-39,569650,734,5551,13,583458
361340,-2265,31597982,36347,433964,375,1721205,32393286,https://www.mohfw.gov.in/,2021-08-22T03:00:00.000Z,https://github.com/zpelechova/covid-in/blob/master/README.md,Bihar,169,-10,715742,21,9649,0,725560
